tile,ra,dec,near_gal,nearest_gal_sep,nearest_gal_id,nearest_gal_dist
"(217, 271)",154.79892,45.5,True,34.03979177831047,NGC3198                       ,14.3922
"(217, 272)",156.19188,46.0,True,174.51873096034868,NGC3198                       ,14.3922
"(217, 274)",159.0913,47.0,True,161.32070500617996,UGC05744                      ,49.7902
"(217, 275)",160.60031,47.5,True,206.3756554657877,NGC3320                       ,35.122
"(217, 287)",182.40727,53.5,True,215.19797775665705,NGC4102                       ,19.691
"(217, 293)",196.58041,56.5,True,56.00635230708978,NGC4964                       ,38.8537
"(217, 294)",199.21451,57.0,True,220.26285824391408,IC0875                        ,42.1091
"(217, 298)",210.66403,59.0,True,98.33291902621364,NGC5430                       ,43.1403
"(217, 300)",217.0,60.0,True,187.16214204600405,NGC5667                       ,33.3728
"(217, 306)",238.99179,63.0,True,183.10019529069595,NGC6015                       ,17.7114
"(218, 247)",130.71333,33.5,True,291.68836201508213,NGC2683                       ,9.0429
"(218, 248)",131.47775,34.0,True,195.57197162093527,NGC2683                       ,9.0429
"(218, 249)",132.26129,34.5,True,155.14671793078014,NGC2683                       ,9.0429
"(218, 250)",133.06442,35.0,True,178.1467386235684,UGC04621                      ,36.7362
"(218, 251)",133.88763,35.5,True,293.2570273883365,NGC2683                       ,9.0429
"(218, 259)",141.2604,39.5,True,203.8553110123034,NGC2852                       ,27.062
"(218, 270)",154.14928,45.0,True,124.62005508854963,NGC3198                       ,14.3922
"(218, 271)",155.51228,45.5,True,71.24511984590424,NGC3198                       ,14.3922
"(218, 272)",156.91167,46.0,True,298.03301449021654,NGC3198                       ,14.3922
"(218, 273)",158.34862,46.5,True,196.69781474458048,UGC05744                      ,49.7902
"(218, 274)",159.82443,47.0,True,113.8736356638909,NGC3320                       ,35.122
"(218, 300)",218.0,60.0,True,164.3424043622405,NGC5667                       ,33.3728
"(218, 305)",236.05919,62.5,True,222.1717821128032,NGC6015                       ,17.7114
"(219, 247)",131.31294,33.5,True,213.1480107152272,NGC2683                       ,9.0429
"(219, 248)",132.08087,34.0,True,120.70003685186516,NGC2683                       ,9.0429
"(219, 249)",132.868,34.5,True,129.48365037406805,NGC2683                       ,9.0429
"(219, 250)",133.67482,35.0,True,210.6739784125914,NGC2683                       ,9.0429
"(219, 269)",153.5225,44.5,True,290.8663365389175,NGC3198                       ,14.3922
"(219, 270)",154.85638,45.0,True,77.07598410466713,NGC3198                       ,14.3922
"(219, 271)",156.22565,45.5,True,181.3202749120032,NGC3198                       ,14.3922
"(219, 273)",159.075,46.5,True,173.05744849603863,UGC05744                      ,49.7902
"(219, 274)",160.55757,47.0,True,186.06381943243065,NGC3320                       ,35.122
"(219, 286)",181.9496,53.0,True,22.176857543970883,NGC4102                       ,19.691
"(219, 292)",195.81793,56.0,True,113.33693818521463,NGC4964                       ,38.8537
"(219, 305)",237.14203,62.5,True,68.75747757714927,NGC6015                       ,17.7114
"(220, 246)",131.15996,33.0,True,232.83871160448837,NGC2683                       ,9.0429
"(220, 247)",131.91254,33.5,True,135.21231613677634,NGC2683                       ,9.0429
"(220, 248)",132.68398,34.0,True,58.86080210627757,NGC2683                       ,9.0429
"(220, 249)",133.4747,34.5,True,129.46476128022908,NGC2683                       ,9.0429
"(220, 250)",134.2852,35.0,True,236.2939497832888,NGC2683                       ,9.0429
"(220, 269)",154.22353,44.5,True,217.50685256610075,NGC3198                       ,14.3922
"(220, 270)",155.56349,45.0,True,93.20800777949638,NGC3198                       ,14.3922
"(220, 272)",158.35123,46.0,True,280.792721843672,UGC05744                      ,49.7902
"(220, 286)",182.78041,53.0,True,192.6608506842489,NGC4102                       ,19.691
"(220, 292)",196.71208,56.0,True,57.936218641396295,NGC4964                       ,38.8537
"(220, 299)",216.73239,59.5,True,223.3036248714845,NGC5667                       ,33.3728
"(220, 305)",238.22487,62.5,True,26.45940933034641,NGC6015                       ,17.7114
"(221, 245)",131.01865,32.5,True,271.7755155354292,NGC2683                       ,9.0429
"(221, 246)",131.75615,33.0,True,154.97336721576468,NGC2683                       ,9.0429
"(221, 247)",132.51215,33.5,True,60.2681561060856,NGC2683                       ,9.0429
"(221, 248)",133.28708,34.0,True,53.85482270500751,NGC2683                       ,9.0429
"(221, 249)",134.0814,34.5,True,154.9198873732274,NGC2683                       ,9.0429
"(221, 250)",134.8956,35.0,True,282.869941959435,NGC2683                       ,9.0429
"(221, 267)",152.33513,43.5,True,272.80510482334336,IC0598                        ,34.3893
"(221, 269)",154.92455,44.5,True,202.1167417946884,NGC3198                       ,14.3922
"(221, 270)",156.2706,45.0,True,196.4837918245505,NGC3198                       ,14.3922
"(221, 272)",159.071,46.0,True,264.9498164191722,UGC05744                      ,49.7902
"(221, 278)",168.42996,49.0,True,247.2091391241788,NGC3583                       ,32.6431
"(221, 285)",181.5161,52.5,True,40.02562675936846,NGC4102                       ,19.691
"(221, 299)",217.71753,59.5,True,40.17952609681297,NGC5667                       ,33.3728
"(221, 305)",239.30771,62.5,True,173.05519492988648,NGC6015                       ,17.7114
"(221, 306)",243.39717,63.0,True,171.15821979405715,IC1210                        ,47.6638
"(222, 245)",131.61148,32.5,True,201.7456363644691,NGC2683                       ,9.0429
"(222, 246)",132.35233,33.0,True,78.58937329747295,NGC2683                       ,9.0429
"(222, 247)",133.11176,33.5,True,14.644511234255011,NGC2683                       ,9.0429
"(222, 248)",133.8902,34.0,True,78.67144394469886,NGC2683                       ,9.0429
"(222, 249)",134.68811,34.5,True,209.5023871699691,NGC2683                       ,9.0429
"(222, 267)",153.02443,43.5,True,67.66997660845304,IC0598                        ,34.3893
"(222, 269)",155.62556,44.5,True,210.45169557804044,NGC3198                       ,14.3922
"(222, 277)",167.51682,48.5,True,295.4042011094607,NGC3583                       ,32.6431
"(222, 278)",169.1921,49.0,True,282.34706420585763,NGC3583                       ,32.6431
"(222, 285)",182.33743,52.5,True,101.44587700397432,NGC4102                       ,19.691
"(222, 299)",218.70268,59.5,True,284.9007821771843,NGC5667                       ,33.3728
"(222, 304)",236.43605,62.0,True,167.7105573286698,NGC6015                       ,17.7114
"(222, 306)",244.4985,63.0,True,290.6030413621122,IC1210                        ,47.6638
"(223, 244)",131.4784,32.0,True,264.681855274065,NGC2683                       ,9.0429
"(223, 245)",132.20433,32.5,True,140.807039436408,NGC2683                       ,9.0429
"(223, 246)",132.9485,33.0,True,26.33626612718008,NGC2683                       ,9.0429
"(223, 247)",133.71135,33.5,True,46.67946977521239,NGC2683                       ,9.0429
"(223, 248)",134.4933,34.0,True,148.50710487246502,NGC2683                       ,9.0429
"(223, 249)",135.29482,34.5,True,276.4619949148502,NGC2683                       ,9.0429
"(223, 252)",137.82158,36.0,True,299.3884754664168,NGC2778                       ,24.0009
"(223, 266)",152.45702,43.0,True,223.65914688020595,IC0598                        ,34.3893
"(223, 267)",153.71373,43.5,True,125.06323197495544,IC0598                        ,34.3893
"(223, 269)",156.32657,44.5,True,277.1385013456376,NGC3198                       ,14.3922
"(223, 277)",168.2714,48.5,True,43.9973118401622,NGC3583                       ,32.6431
"(223, 285)",183.15878,52.5,True,271.5477324037885,NGC4102                       ,19.691
"(223, 297)",213.39772,58.5,True,255.28699900667175,NGC5526                       ,30.4502
"(223, 298)",216.48885,59.0,True,280.43865299749325,NGC5667                       ,33.3728
