host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC5055,dw1323p4058,200.935,40.9728,,4.39969575444765,,"(303, 262)",2139.071887532874,4476.093084893722,ugri,4,1
NGC5194,NGC5195,202.4983,47.2661,,,,"(274, 275)",8778.832872476214,474.1954101241317,gri,3,1
NGC5194,dw1330p4731,202.6411,47.5257,,11.7171872453187,,"(274, 275)",6891.569289723297,5499.799349460405,gri,3,1
NGC5457,dw1350p5441,207.7431,54.6892,,22.8255807897748,,"(241, 289)",2356.751720389956,8670.955093864673,ugriz,5,1
NGC5457,UGC8837,208.6892,53.9043,,78.2854272325518,,"(245, 288)",1806.1118477121915,3151.7318956984677,ugriz,5,1
NGC5457,dw1403p5337,210.7728,53.6147,,27.1412751974064,,"(251, 287)",7464.82423097374,7226.482890445404,ugriz,5,1
NGC5457,NGC5474,211.2561,53.6617,,92.984174656191,,"(251, 287)",1912.3083197395815,8139.423110667737,ugriz,5,1
NGC2549,MATLAS-345,124.0215,58.1807,dE  ,4.79,,"(131, 296)",731.5049413031438,8515.013420447127,ugriz,5,1
NGC2549,MATLAS-346,124.098,57.2727,dI  ,0.0,,"(133, 295)",1532.8339376051615,603.5617992172938,ugriz,5,1
NGC2549,MATLAS-347,124.136,58.1901,dE  ,24.6,,"(132, 296)",9201.062847577785,8696.767789632699,ugriz,5,1
NGC2549,MATLAS-348,124.2205,58.0489,dEN ,6.29,,"(132, 296)",8351.153336340432,5955.7400992876965,ugriz,5,1
NGC2549,MATLAS-349,124.443,58.149,dI  ,0.0,,"(132, 296)",6066.36682935829,7888.29634826898,ugriz,5,1
NGC2549,MATLAS-350,124.5221,57.4476,dE  ,7.2,,"(134, 295)",6830.533584031183,3986.9058104190826,ugriz,5,1
NGC2549,MATLAS-351,124.552,57.9697,dE  ,3.16,,"(132, 296)",4951.430152340101,4412.819043028243,ugriz,5,1
NGC2549,MATLAS-352,124.5566,57.3898,dE  ,3.25,,"(134, 295)",6473.119065318733,2865.963005041192,ugriz,5,1
NGC2549,MATLAS-353,124.5697,58.0192,dE  ,4.71,,"(132, 296)",4769.828360289489,5372.114325148152,ugriz,5,1
NGC2549,MATLAS-354,124.6103,57.7939,dE  ,5.3,,"(132, 296)",4349.0460076953805,1006.2812946354898,ugriz,5,1
NGC2549,MATLAS-355,124.667,57.3307,dI  ,0.0,,"(134, 295)",5320.646577456813,1719.2040990139717,ugriz,5,1
NGC2549,MATLAS-356,124.7066,57.9889,dE  ,2.91,,"(132, 296)",3363.332642416633,4786.823074912354,ugriz,5,1
NGC2549,MATLAS-357,124.8246,58.3139,dE  ,2.94,,"(130, 297)",700.9001253268716,1407.045406964061,ugriz,5,1
NGC2549,MATLAS-358,124.844,57.9862,dI  ,0.0,,"(132, 296)",1951.6672725380652,4739.263296505348,ugriz,5,1
NGC2549,MATLAS-359,124.9989,58.1234,dEN ,5.43,,"(132, 296)",378.1202792284712,7406.836432729018,ugriz,5,1
NGC2549,MATLAS-360,125.077,58.327,dE  ,0.0,,"(131, 297)",7871.447421721088,1653.4472194252844,ugriz,5,1
NGC2549,MATLAS-372,125.636,57.3251,dI  ,2.36,,"(135, 295)",4918.732523460146,1610.613357184679,ugriz,5,1
UGC04551,MATLAS-407,130.923,49.846,dE  ,5.2,,"(168, 280)",1973.373695014792,2020.521759397452,ugriz,5,1
UGC04551,MATLAS-414,131.304,50.2209,dI  ,0.0,,"(169, 280)",6917.721623950758,9282.823488218495,ugriz,5,1
UGC04551,MATLAS-415,131.388,49.2537,dE  ,3.38,,"(171, 279)",8317.237615115086,232.68350322186416,ugriz,5,1
UGC04551,MATLAS-416,131.508,49.9323,dI  ,0.0,,"(169, 280)",4384.569990096721,3688.246323571853,ugriz,5,1
NGC2685,MATLAS-425,133.594,58.9676,dI  ,0.0,,"(138, 298)",8763.117979515631,4382.720995544977,griz,4,1
NGC2685,MATLAS-430,133.766,58.2889,dI  ,0.0,,"(140, 297)",7094.9246236955,912.2807771004586,griz,4,1
NGC2685,MATLAS-450,134.417,59.0503,dI  ,0.0,,"(138, 298)",551.8189961303333,5989.620629651345,griz,4,1
NGC2685,MATLAS-451,134.438,59.0371,dI  ,0.0,,"(138, 298)",340.73920516304315,5735.253279223226,griz,4,1
NGC2685,MATLAS-453,134.4924,59.0925,dE  ,5.34,,"(139, 298)",9470.170229872256,6807.586562210465,griz,4,1
NGC2778,MATLAS-462,137.607,34.4982,dE  ,0.0,,"(227, 249)",6830.724255479605,4966.155077528191,ugri,4,1
NGC2778,MATLAS-464,137.6866,34.5667,dI  ,6.08,,"(227, 249)",5558.967280760055,6292.674403852803,ugri,4,1
NGC2778,MATLAS-466,137.763,35.2162,dI  ,0.0,,"(226, 250)",7921.529971561122,9192.464821376589,ugri,4,1
NGC2778,MATLAS-470,138.0426,34.7017,dI  ,7.12,,"(228, 249)",9552.302067853949,8915.215367713823,ugri,4,1
NGC2778,MATLAS-471,138.108,34.8636,dE  ,0.0,,"(226, 250)",2448.3751925171346,2358.746915638797,ugri,4,1
NGC2778,MATLAS-473,138.1387,35.1922,dE  ,3.02,,"(226, 250)",1972.4058376150608,8727.561749931414,ugri,4,1
NGC2778,MATLAS-474,138.17,34.746,dE  ,6.79,,"(228, 249)",7521.196329606487,9769.239784621324,ugri,4,1
NGC2778,MATLAS-476,138.198,35.1593,dI  ,0.0,,"(226, 250)",1031.6641431516578,8092.071776181157,ugri,4,1
NGC2778,MATLAS-482,138.3213,35.5495,dE  ,4.87,,"(225, 251)",2878.9828929603395,5960.706601458112,ugri,4,1
NGC2778,MATLAS-484,138.446,35.1915,dEN ,5.39,,"(227, 250)",6772.430716806635,8712.082994306878,ugri,4,1
NGC2778,MATLAS-485,138.485,34.8349,dI  ,0.0,,"(227, 250)",6159.824726367973,1800.9457993068932,ugri,4,1
NGC2778,MATLAS-486,138.5965,34.7226,dI  ,2.42,,"(228, 249)",728.5661406552535,9319.472887293072,ugri,4,1
NGC2778,MATLAS-487,138.6034,35.4336,dE  ,4.62,,"(226, 251)",8119.129845901894,3716.353589004239,ugri,4,1
